topic_id,topic_name,unit,items_count,question_count,difficulty_mix,calculator_marked,status,notes
U5.1.1-S,Torque Variable Force (S),U5,1,1,S,yes,submitted_for_review,Unit 5 subtopic items
U5.1.1-C,Torque Variable Force (C),U5,1,1,C,yes,submitted_for_review,Unit 5 subtopic items
U5.1.2-F,Rotational Dynamics Rolling (F),U5,1,1,F,yes,submitted_for_review,Unit 5 subtopic items
U5.1.2-S,Rotational Dynamics Rolling (S),U5,1,1,S,yes,submitted_for_review,Unit 5 subtopic items
U5.1.2-C,Rotational Dynamics Rolling (C),U5,1,1,C,yes,submitted_for_review,Unit 5 subtopic items
U5.2.1-F,Moment of Inertia Integral (F),U5,1,1,F,yes,submitted_for_review,Unit 5 subtopic items
U5.2.1-S,Moment of Inertia Integral (S),U5,1,1,S,yes,submitted_for_review,Unit 5 subtopic items
U5.2.1-C,Moment of Inertia Integral (C),U5,1,1,C,yes,submitted_for_review,Unit 5 subtopic items
U5.2.2-F,Angular Momentum Conservation (F),U5,1,1,F,yes,submitted_for_review,Unit 5 subtopic items
U5.2.2-S,Angular Momentum Conservation (S),U5,1,1,S,yes,submitted_for_review,Unit 5 subtopic items
U5.2.2-C,Angular Momentum Conservation (C),U5,1,1,C,yes,submitted_for_review,Unit 5 subtopic items
U6.1.1-F,Simple Harmonic Motion ODE (F),U6,1,1,F,yes,submitted_for_review,Unit 6 subtopic items
U6.1.1-S,Simple Harmonic Motion ODE (S),U6,1,1,S,yes,submitted_for_review,Unit 6 subtopic items
U6.1.1-C,Simple Harmonic Motion ODE (C),U6,1,1,C,yes,submitted_for_review,Unit 6 subtopic items
U6.1.2-F,SHM Initial Conditions (F),U6,1,1,F,yes,submitted_for_review,Unit 6 subtopic items
U6.1.2-S,SHM Initial Conditions (S),U6,1,1,S,yes,submitted_for_review,Unit 6 subtopic items
U6.1.2-C,SHM Initial Conditions (C),U6,1,1,C,yes,submitted_for_review,Unit 6 subtopic items
U6.2.1-F,SHM Energy and Dynamics (F),U6,1,1,F,yes,submitted_for_review,Unit 6 subtopic items
U6.2.1-S,SHM Energy and Dynamics (S),U6,1,1,S,yes,submitted_for_review,Unit 6 subtopic items
U6.2.1-C,SHM Energy and Dynamics (C),U6,1,1,C,yes,submitted_for_review,Unit 6 subtopic items
U7.1.1-F,Gravitational Force and Field (F),U7,1,1,F,yes,submitted_for_review,Unit 7 subtopic items
U7.1.1-S,Gravitational Force and Field (S),U7,1,1,S,yes,submitted_for_review,Unit 7 subtopic items
U7.1.1-C,Gravitational Force and Field (C),U7,1,1,C,yes,submitted_for_review,Unit 7 subtopic items
U7.2.1-F,Orbital Mechanics Kepler (F),U7,1,1,F,yes,submitted_for_review,Unit 7 subtopic items
U7.2.1-S,Orbital Mechanics Kepler (S),U7,1,1,S,yes,submitted_for_review,Unit 7 subtopic items
U7.2.1-C,Orbital Mechanics Kepler (C),U7,1,1,C,yes,submitted_for_review,Unit 7 subtopic items
U7.2.2-F,Gravitational Potential Energy (F),U7,1,1,F,yes,submitted_for_review,Unit 7 subtopic items
U7.2.2-S,Gravitational Potential Energy (S),U7,1,1,S,yes,submitted_for_review,Unit 7 subtopic items
U7.2.2-C,Gravitational Potential Energy (C),U7,1,1,C,yes,submitted_for_review,Unit 7 subtopic items
